id	fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
63	225	physik	11	0	0	0	1	0	1	282	98	23	63	915	63	p0	1401.7	805.0
63	226	physik	11	0	0	0	1	0	1	292	29	98	63	921	63	p0	92.9	891.9
63	227	physik	11	0	0	0	1	0	1	286	28	29	63	933	63	p0	263.4	887.1
63	228	physik	11	0	0	0	1	0	1	164	25	28	63	941	63	p0	391.1	891.4
63	229	physik	11	0	0	0	1	0	1	274	18	25	63	946	63	p0	480.4	891.3
63	230	physik	11	0	0	0	1	0	1	231	26	18	63	950	63	p0	539.8	890.5
63	231	physik	11	0	0	0	1	0	1	258	23	26	63	955	63	p0	620.8	897.4
63	232	physik	11	0	0	0	1	0	1	197	20	23	63	961	63	p0	716.3	896.3
63	233	physik	11	0	0	0	1	0	1	146	33	20	63	965	63	p0	787.4	898.7
63	234	physik	11	0	0	0	1	0	1	158	22	33	63	971	63	p0	882.1	892.3
63	235	physik	11	0	0	0	1	0	1	276	19	22	63	976	63	p0	962.1	892.5
63	236	physik	11	0	0	0	1	0	1	102	28	19	63	979	63	p0	1016.0	895.9
63	237	physik	11	0	0	0	1	0	1	190	18	28	63	985	63	p0	1116.2	894.3
63	238	physik	11	0	0	0	1	0	1	232	43	18	63	989	63	p0	1181.3	898.6
63	239	physik	11	0	0	0	1	0	1	242	32	43	63	998	63	p0	1320.1	901.9
63	240	physik	11	0	0	0	1	0	1	292	24	32	63	1005	63	p0	1427.1	898.1
63	241	physik	11	0	0	0	1	0	1	271	101	24	63	1011	63	p0	1523.2	889.4
63	242	physik	11	0	0	0	1	0	1	176	11	101	63	1017	63	p0	100.4	975.1
63	243	physik	11	0	0	0	1	0	1	111	29	11	63	.	63	p0	79.5	972.9
63	244	physik	11	0	0	0	1	0	1	199	25	29	63	1025	63	p0	248.9	970.0
63	245	physik	11	0	0	0	1	0	1	214	29	25	63	1032	63	p0	356.0	974.9
63	246	physik	11	0	0	0	1	0	1	252	30	29	63	1040	63	p0	485.4	983.1
63	247	physik	11	0	0	0	1	0	1	220	32	30	63	1048	63	p0	607.4	996.0
63	248	physik	11	0	0	0	1	0	1	187	20	32	63	1057	63	p0	753.2	989.8
63	249	physik	11	0	0	0	1	0	1	176	27	20	63	1060	63	p0	808.0	994.7
63	250	physik	11	0	0	0	1	0	1	127	31	27	63	1066	63	p0	921.1	993.0
63	251	physik	11	0	0	0	1	0	1	199	25	31	63	1073	63	p0	1030.0	993.5
63	252	physik	11	0	0	0	1	0	1	215	29	25	63	1081	63	p0	1153.8	978.8
63	253	physik	11	0	0	0	1	0	1	169	8	29	63	1088	63	p0	1258.4	982.7
63	254	physik	11	0	0	0	1	0	1	257	11	8	63	1090	63	p0	1293.0	984.7
63	255	physik	11	0	0	0	1	0	1	120	31	11	63	1093	63	p0	1333.3	986.8
63	256	physik	11	0	0	0	1	0	1	261	28	31	63	1099	63	p0	1428.8	987.8
63	257	physik	11	0	0	0	1	0	1	222	20	28	63	1106	63	p0	1538.0	974.8
63	258	physik	11	0	0	0	1	0	1	797	.	20	63	1109	63	p0	1590.2	990.2
